uid,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
649bc5d39b21a1b93e0986d5,Gentoo,Biscoe,43.4,14.4,218,4600,FEMALE
649bc5d39b21a1b93e0986d6,Gentoo,Biscoe,51.3,14.2,218,5300,MALE
649bc5d39b21a1b93e0986d7,Gentoo,Biscoe,47.5,14,212,4875,FEMALE
649bc5d39b21a1b93e0986d8,Gentoo,Biscoe,52.1,17,230,5550,MALE
649bc5d39b21a1b93e0986d9,Gentoo,Biscoe,47.5,15,218,4950,FEMALE
649bc5d39b21a1b93e0986da,Gentoo,Biscoe,52.2,17.1,228,5400,MALE
649bc5d39b21a1b93e0986db,Gentoo,Biscoe,45.5,14.5,212,4750,FEMALE
649bc5d39b21a1b93e0986dc,Gentoo,Biscoe,49.5,16.1,224,5650,MALE
649bc5d39b21a1b93e0986dd,Gentoo,Biscoe,44.5,14.7,214,4850,FEMALE
649bc5d39b21a1b93e0986de,Gentoo,Biscoe,50.8,15.7,226,5200,MALE
649bc5d39b21a1b93e0986df,Gentoo,Biscoe,49.4,15.8,216,4925,MALE
649bc5d39b21a1b93e0986e0,Gentoo,Biscoe,46.9,14.6,222,4875,FEMALE
649bc5d39b21a1b93e0986e1,Gentoo,Biscoe,48.4,14.4,203,4625,FEMALE
649bc5d39b21a1b93e0986e2,Gentoo,Biscoe,51.1,16.5,225,5250,MALE
649bc5d39b21a1b93e0986e3,Gentoo,Biscoe,48.5,15,219,4850,FEMALE
649bc5d39b21a1b93e0986e4,Gentoo,Biscoe,55.9,17,228,5600,MALE
649bc5d39b21a1b93e0986e5,Gentoo,Biscoe,47.2,15.5,215,4975,FEMALE
649bc5d39b21a1b93e0986e6,Gentoo,Biscoe,49.1,15,228,5500,MALE
649bc5d39b21a1b93e0986e7,Gentoo,Biscoe,47.3,13.8,216,4725,MALE
649bc5d39b21a1b93e0986e8,Gentoo,Biscoe,46.8,16.1,215,5500,MALE
649bc5d39b21a1b93e0986e9,Gentoo,Biscoe,41.7,14.7,210,4700,FEMALE
649bc5d39b21a1b93e0986ea,Gentoo,Biscoe,53.4,15.8,219,5500,MALE
649bc5d39b21a1b93e0986eb,Gentoo,Biscoe,43.3,14,208,4575,FEMALE
649bc5d39b21a1b93e0986ec,Gentoo,Biscoe,48.1,15.1,209,5500,MALE
649bc5d39b21a1b93e0986ed,Gentoo,Biscoe,50.5,15.2,216,5000,FEMALE
649bc5d39b21a1b93e0986ee,Gentoo,Biscoe,49.8,15.9,229,5950,MALE
649bc5d39b21a1b93e0986ef,Gentoo,Biscoe,43.5,15.2,213,4650,FEMALE
649bc5d39b21a1b93e0986f0,Gentoo,Biscoe,51.5,16.3,230,5500,MALE
649bc5d39b21a1b93e0986f1,Gentoo,Biscoe,46.2,14.1,217,4375,FEMALE
649bc5d39b21a1b93e0986f2,Gentoo,Biscoe,55.1,16,230,5850,MALE
649bc5d39b21a1b93e0986f3,Gentoo,Biscoe,44.5,15.7,217,4875,.
649bc5d39b21a1b93e0986f4,Gentoo,Biscoe,48.8,16.2,222,6000,MALE
649bc5d39b21a1b93e0986f5,Gentoo,Biscoe,47.2,13.7,214,4925,FEMALE
649bc5d39b21a1b93e0986f7,Gentoo,Biscoe,46.8,14.3,215,4850,FEMALE
649bc5d39b21a1b93e0986f8,Gentoo,Biscoe,50.4,15.7,222,5750,MALE
649bc5d39b21a1b93e0986f9,Gentoo,Biscoe,45.2,14.8,212,5200,FEMALE
649bc5d39b21a1b93e0986fa,Gentoo,Biscoe,49.9,16.1,213,5400,MALE
